Lattice ID,Length of the first vector,Root Hermite Factor,Orthogonality Defect,Run time,Lattice dimension
0,698.4690401155946,1.0080408677600756,2.3360953090155565,0.3153553009033203,100
1,664.9834584408849,1.00782751238753,2.4038158066166133,0.6498720645904541,100
2,776.1675076940544,1.0092918147292935,2.3615354608309467,0.49501919746398926,100
3,737.031206937671,1.0087152904779362,2.385146201011771,0.2866818904876709,100
4,714.1281397620457,1.0085698748806955,2.4117199475745013,0.2391214370727539,100
5,641.1201135512752,1.0073893999175068,2.3464600844764947,0.3140265941619873,100
6,675.3473180519784,1.0080676153976624,2.3858969666187706,0.3587973117828369,100
7,680.5093680472004,1.0082576956181328,2.4122471033190704,0.45720934867858887,100
8,729.018518283315,1.0086853399852922,2.3068550199800195,0.3467066287994385,100
9,674.3307793657353,1.0077699932941266,2.344671255167371,0.4224226474761963,100
